road,linkNo,name,start_lrp,start_offset,start_chainage,end_lrp,end_offset,end_chainage,length,heavyTruck,mediumTruck,smallTruck,largeBus,mediumBus,microBus,utility,car,autoRickshaw,motorcycle,bicycle,cycleRickshaw,cart,totalMotorized,totalNonMotorized,total
N1,N1-1L,Jatrabari - Int.with Z1101 (Left) (Left),LRPS,0.0,0.0,LRPS,822.0,0.822,0.822,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0
N1,N1-1R,Jatrabari - Int.with Z1101 (Left) (Right),LRPS,0.0,0.0,LRPS,822.0,0.822,0.822,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0
N1,N1-2L,Int.with Z1101 - Signboard (Left) R111 (Left),LRPS,822.0,0.822,LRPS,4175.0,4.175,3.353,660.0,6155.0,1554.0,2744.0,971.0,2120.0,480.0,2608.0,2508.0,436.0,213.0,1088.0,0.0,20236.0,1301.0,21537.0
N1,N1-2R,Int.with Z1101 - Signboard (Left) R111 (Right),LRPS,822.0,0.822,LRPS,4175.0,4.175,3.353,402.0,5842.0,1147.0,2842.0,526.0,2010.0,238.0,1851.0,2980.0,398.0,232.0,889.0,0.0,18236.0,1121.0,19357.0
N1,N1-3L,Signboard - Shimrail (Left)R110 (Left),LRPS,4175.0,4.175,LRPS,7181.0,7.181,3.006,91.0,2706.0,2184.0,2534.0,1773.0,1643.0,314.0,1690.0,2266.0,1087.0,75.0,1198.0,0.0,16288.0,1273.0,17561.0
N1,N1-3R,Signboard - Shimrail (Left)R110 (Right),LRPS,4175.0,4.175,LRPS,7181.0,7.181,3.006,85.0,2544.0,2053.0,2412.0,1688.0,1564.0,298.0,1609.0,2157.0,1035.0,72.0,1140.0,0.0,15445.0,1212.0,16657.0
N1,N1-4L,Shimrail  - Katchpur  (Left)N2 (Left),LRPS,7181.0,7.181,LRP009,260.0,8.763,1.582,174.0,2905.0,1360.0,2576.0,1356.0,1415.0,320.0,1579.0,3154.0,1162.0,211.0,1077.0,0.0,16001.0,1288.0,17289.0
N1,N1-4R,Shimrail  - Katchpur  (Left)N2 (Right),LRPS,7181.0,7.181,LRP009,260.0,8.763,1.582,153.0,2955.0,1566.0,2438.0,1456.0,1299.0,345.0,1948.0,2693.0,1143.0,517.0,1531.0,0.0,15996.0,2048.0,18044.0
N1,N1-5L,Katchpur - Madanpur (Left)N105 (Left),LRP009,260.0,8.763,LRP012,439.0,11.936,3.173,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,N1-5R,Katchpur - Madanpur (Left)N105 (Right),LRP009,260.0,8.763,LRP012,439.0,11.936,3.173,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,N1-6L,Madanpur - Langalband (Left)Z1061 (Left),LRP012,439.0,11.936,LRP013,3411.0,15.935,3.999,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,N1-6R,Madanpur - Langalband (Left)Z1061 (Right),LRP012,439.0,11.936,LRP013,3411.0,15.935,3.999,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,N1-7L,Langalband - Mograpara Chowrasta (Left)Z1089 (Left),LRP013,3411.0,15.935,LRP013,7520.0,20.044,4.109,153.0,4419.0,3221.0,2880.0,2408.0,2787.0,345.0,2105.0,3080.0,1143.0,517.0,1531.0,0.0,22541.0,2048.0,24589.0
N1,N1-7R,Langalband - Mograpara Chowrasta (Left)Z1089 (Right),LRP013,3411.0,15.935,LRP013,7520.0,20.044,4.109,174.0,4965.0,3478.0,3296.0,2791.0,1751.0,249.0,1579.0,3154.0,1154.0,211.0,1077.0,0.0,22591.0,1288.0,23879.0
N1,N1-8L,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left),LRP013,7520.0,20.044,LRP022,1935.0,23.564,3.52,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0
N1,N1-8R,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Right),LRP013,7520.0,20.044,LRP022,1935.0,23.564,3.52,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0
N1,N1-9L,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left),LRP022,1935.0,23.564,LRP031,162.0,30.936,7.372,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0
N1,N1-9R,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Right),LRP022,1935.0,23.564,LRP031,162.0,30.936,7.372,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0
N1,N1-10L,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Left),LRP031,162.0,30.936,LRP033,3664.0,36.271,5.335,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0
N1,N1-10R,Bhaberchar(Int.with Z1063)-Daudkandi Bridge (Left) (Right),LRP031,162.0,30.936,LRP033,3664.0,36.271,5.335,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0
N1,N1-11L,Daudkandi Bridge- Daudkandi Z1062 (Left),LRP033,3664.0,36.271,LRP033,5859.0,38.466,2.195,355.0,5314.0,1116.0,1401.0,726.0,1663.0,403.0,2137.0,1364.0,110.0,37.0,196.0,0.0,14589.0,233.0,14822.0
N1,N1-11R,Daudkandi Bridge- Daudkandi Z1062 (Right),LRP033,3664.0,36.271,LRP033,5859.0,38.466,2.195,244.0,4999.0,1005.0,2019.0,684.0,1647.0,396.0,1961.0,1120.0,314.0,31.0,131.0,0.0,14389.0,162.0,14551.0
N1,N1-12L,Daudkandi Z1062 - Pennai Z1053 (Left),LRP033,5859.0,38.466,LRP043,3119.0,45.388,6.922,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0
N1,N1-12R,Daudkandi Z1062 - Pennai Z1053 (Right),LRP033,5859.0,38.466,LRP043,3119.0,45.388,6.922,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0
N1,N1-13L,Pennai Z1053- Gouripur (Int.with Z1044) (Left),LRP043,3119.0,45.388,LRP043,4955.0,47.224,1.836,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0
N1,N1-13R,Pennai Z1053- Gouripur (Int.with Z1044) (Right),LRP043,3119.0,45.388,LRP043,4955.0,47.224,1.836,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0
N1,N1-14L,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Left),LRP043,4955.0,47.224,LRP043,13208.0,55.477,8.253,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0
N1,N1-14R,Gouripur (Int.with Z1044) - Eliotganj Z1042 (Right),LRP043,4955.0,47.224,LRP043,13208.0,55.477,8.253,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0
N1,N1-15L,Eliotganj Z1042- Madhaya Z1017 (Left),LRP043,13208.0,55.477,LRP043,20009.0,62.278,6.801,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0
N1,N1-15R,Eliotganj Z1042- Madhaya Z1017 (Right),LRP043,13208.0,55.477,LRP043,20009.0,62.278,6.801,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0
N1,N1-16L,Madhaya Z1017 - Chandina Z1022 (Left),LRP043,20009.0,62.278,LRP067,3912.0,69.638,7.36,348.0,4941.0,928.0,1627.0,632.0,695.0,397.0,1049.0,800.0,132.0,26.0,106.0,0.0,11549.0,132.0,11681.0
N1,N1-16R,Madhaya Z1017 - Chandina Z1022 (Right),LRP043,20009.0,62.278,LRP067,3912.0,69.638,7.36,359.0,4772.0,851.0,1637.0,566.0,699.0,398.0,1126.0,786.0,198.0,44.0,147.0,0.0,11392.0,191.0,11583.0
N1,N1-17L,Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Left),LRP067,3912.0,69.638,LRP076,1760.0,75.589,5.951,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0
N1,N1-17R,Chandina Z1022 - Nimsar  (Int.with Z1219 & Z1028)  (Right),LRP067,3912.0,69.638,LRP076,1760.0,75.589,5.951,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0
N1,N1-18L,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Left),LRP076,1760.0,75.589,LRP076,8017.0,81.846,6.257,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0
N1,N1-18R,Nimsar (Int.with Z1219 & Z1028) - Mainamati N102 (Right),LRP076,1760.0,75.589,LRP076,8017.0,81.846,6.257,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0
N1,N1-19L,Mainamati  N102- Int.with Z1029 (Left),LRP076,8017.0,81.846,LRP076,12068.0,85.897,4.051,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0
N1,N1-19R,Mainamati  N102- Int.with Z1029 (Right),LRP076,8017.0,81.846,LRP076,12068.0,85.897,4.051,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0
N1,N1-20L,Int.with Z1029 - Int.with Z1052 (Left),LRP076,12068.0,85.897,LRP076,13537.0,87.366,1.469,308.0,5253.0,680.0,1824.0,454.0,959.0,393.0,1215.0,1997.0,617.0,128.0,174.0,0.0,13700.0,302.0,14002.0
N1,N1-20R,Int.with Z1029 - Int.with Z1052 (Right),LRP076,12068.0,85.897,LRP076,13537.0,87.366,1.469,336.0,5605.0,763.0,1863.0,474.0,1037.0,415.0,1042.0,1906.0,492.0,96.0,184.0,0.0,13933.0,280.0,14213.0
N1,N1-21L,Int.with Z1052 - Changani (Kotbari) (Left),LRP076,13537.0,87.366,LRP091,897.0,89.41,2.044,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0
N1,N1-21R,Int.with Z1052 - Changani (Kotbari) (Right),LRP076,13537.0,87.366,LRP091,897.0,89.41,2.044,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0
N1,N1-22L,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Left),LRP091,897.0,89.41,LRP093,1090.0,91.583,2.173,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0
N1,N1-22R,Changani (Kotbari) - Paduar Bazar Biswa Rd. R140 (Right),LRP091,897.0,89.41,LRP093,1090.0,91.583,2.173,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0
N1,N1-23L,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Left),LRP093,1090.0,91.583,LRP105,3631.0,105.879,14.296,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0
N1,N1-23R,Paduar Bazar Biswa Rd. R140 - Miabazar Z1046 (Right),LRP093,1090.0,91.583,LRP105,3631.0,105.879,14.296,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0
N1,N1-24L,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Left),LRP105,3631.0,105.879,LRP105,17450.0,119.698,13.819,294.0,5781.0,770.0,1356.0,307.0,516.0,257.0,732.0,1429.0,384.0,72.0,144.0,0.0,11826.0,216.0,12042.0
N1,N1-24R,Miabazar Z1046 - Chauddagram(Int.with Z1045) (Right),LRP105,3631.0,105.879,LRP105,17450.0,119.698,13.819,321.0,5542.0,848.0,1306.0,321.0,522.0,282.0,825.0,1412.0,370.0,64.0,143.0,0.0,11749.0,207.0,11956.0
N1,N1-25L,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Left),LRP105,17450.0,119.698,LRP142,230.0,138.869,19.171,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0
N1,N1-25R,Chauddagram(Int.with Z1045)-Md. Ali bazar (Int.with Z1031) (Right),LRP105,17450.0,119.698,LRP142,230.0,138.869,19.171,398.0,3838.0,863.0,780.0,314.0,674.0,306.0,589.0,760.0,353.0,36.0,115.0,0.0,8875.0,151.0,9026.0
N1,N1-26L,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Left),LRP142,230.0,138.869,LRP143,500.0,140.251,1.382,459.0,3515.0,726.0,761.0,304.0,688.0,251.0,508.0,929.0,324.0,33.0,121.0,0.0,8465.0,154.0,8619.0
N1,N1-26R,Md. Ali bazar (Int.with Z1031)-Int.with Z1031 (Right),LRP142,230.0,138.869,LRP143,500.0,140.251,1.382,398.0,3838.0,863.0,780.0,314.0,674.0,306.0,589.0,760.0,353.0,36.0,115.0,0.0,8875.0,151.0,9026.0
N1,N1-27L,Int.with Z1031 - Elahiganj (Feni) Z1030 (Left),LRP143,500.0,140.251,LRP146,240.0,143.034,2.783,626.0,4617.0,1156.0,1923.0,588.0,791.0,216.0,716.0,1212.0,331.0,92.0,228.0,0.0,12176.0,320.0,12496.0
N1,N1-27R,Int.with Z1031 - Elahiganj (Feni) Z1030 (Right),LRP143,500.0,140.251,LRP146,240.0,143.034,2.783,728.0,4991.0,1253.0,2234.0,667.0,1164.0,249.0,813.0,1676.0,426.0,148.0,235.0,0.0,14201.0,383.0,14584.0
N1,N1-28L,Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Left),LRP146,240.0,143.034,LRP147,1614.0,145.409,2.375,728.0,4991.0,1253.0,2234.0,667.0,1164.0,249.0,813.0,1676.0,426.0,148.0,235.0,0.0,14201.0,383.0,14584.0
N1,N1-28R,Elahiganj (Feni)  Z1030- Feni (Int.with N104) (Right),LRP146,240.0,143.034,LRP147,1614.0,145.409,2.375,626.0,4617.0,1156.0,1923.0,588.0,791.0,216.0,716.0,1212.0,331.0,92.0,228.0,0.0,12176.0,320.0,12496.0
N1,N1-29L,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Left),LRP147,1614.0,145.409,LRP152,448.0,149.289,3.88,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0
N1,N1-29R,Feni (Int.with N104) - Feni Shahid Minar (Int.with Z1034) (Right),LRP147,1614.0,145.409,LRP152,448.0,149.289,3.88,350.0,5976.0,1656.0,1618.0,669.0,1185.0,355.0,1071.0,1266.0,409.0,96.0,196.0,0.0,14555.0,292.0,14847.0
N1,N1-30L,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Left),LRP152,448.0,149.289,LRP160,738.0,157.685,8.396,393.0,4967.0,1201.0,1656.0,293.0,775.0,282.0,973.0,840.0,207.0,224.0,188.0,0.0,11587.0,412.0,11999.0
N1,N1-30R,Feni Shahid Minar( Int.with Z1034)-Fazilpur (Z1081) (Right),LRP152,448.0,149.289,LRP160,738.0,157.685,8.396,437.0,5132.0,981.0,1477.0,239.0,613.0,235.0,833.0,847.0,187.0,200.0,141.0,0.0,10981.0,341.0,11322.0
N1,N1-31L,Fazilpur Z1081 - Muhuriganj Z1032 (Left),LRP160,738.0,157.685,LRP164,619.0,161.582,3.897,355.0,5555.0,1533.0,1572.0,630.0,1141.0,285.0,980.0,1252.0,415.0,89.0,199.0,0.0,13718.0,288.0,14006.0
N1,N1-31R,Fazilpur Z1081 - Muhuriganj Z1032 (Right),LRP160,738.0,157.685,LRP164,619.0,161.582,3.897,350.0,5976.0,1656.0,1618.0,669.0,1185.0,355.0,1071.0,1266.0,409.0,96.0,196.0,0.0,14555.0,292.0,14847.0
N1,N1-32L,Muhuriganj Z1032-Baraiyerhat R151 (Left),LRP164,619.0,161.582,LRP164,6720.0,167.683,6.101,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0
N1,N1-32R,Muhuriganj Z1032-Baraiyerhat R151 (Right),LRP164,619.0,161.582,LRP164,6720.0,167.683,6.101,376.0,4095.0,978.0,1358.0,526.0,765.0,277.0,770.0,2304.0,292.0,75.0,282.0,0.0,11741.0,357.0,12098.0
N1,N1-33L,Baraiyerhat R151- Mirersarai Z1021 (Left),LRP164,6720.0,167.683,LRP164,20501.0,181.464,13.781,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0
N1,N1-33R,Baraiyerhat R151- Mirersarai Z1021 (Right),LRP164,6720.0,167.683,LRP164,20501.0,181.464,13.781,376.0,4095.0,978.0,1358.0,526.0,765.0,277.0,770.0,2304.0,292.0,75.0,282.0,0.0,11741.0,357.0,12098.0
N1,N1-34L,Mirersarai Z1021 - Baroirdala Z1086 (Left),LRP164,20501.0,181.464,LRP197,1120.0,194.603,13.139,366.0,3877.0,1050.0,1313.0,539.0,752.0,319.0,770.0,2247.0,371.0,109.0,251.0,0.0,11604.0,360.0,11964.0
N1,N1-34R,Mirersarai Z1021 - Baroirdala Z1086 (Right),LRP164,20501.0,181.464,LRP197,1120.0,194.603,13.139,376.0,4095.0,978.0,1358.0,526.0,765.0,277.0,770.0,2304.0,292.0,75.0,282.0,0.0,11741.0,357.0,12098.0
N1,N1-35L,Baroirdala Z1086- Barabkunda Z1087 (Left),LRP197,1120.0,194.603,LRP209,486.0,206.402,11.799,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0
N1,N1-35R,Baroirdala Z1086- Barabkunda Z1087 (Right),LRP197,1120.0,194.603,LRP209,486.0,206.402,11.799,1217.0,5230.0,1456.0,1648.0,654.0,843.0,247.0,775.0,2735.0,415.0,109.0,350.0,0.0,15220.0,459.0,15679.0
N1,N1-36L,Barabkunda Z1087-Fouzderhat Z1016 (Left),LRP209,486.0,206.402,LRP225,6400.0,228.406,22.004,986.0,5219.0,1000.0,1499.0,561.0,881.0,230.0,831.0,2864.0,451.0,93.0,288.0,0.0,14522.0,381.0,14903.0
N1,N1-36R,Barabkunda Z1087-Fouzderhat Z1016 (Right),LRP209,486.0,206.402,LRP225,6400.0,228.406,22.004,1217.0,5230.0,1456.0,1648.0,654.0,843.0,247.0,775.0,2735.0,415.0,109.0,350.0,0.0,15220.0,459.0,15679.0
N1,N1-37,Fouzderhat Z1016 - Alonker Cinema Hall (Chittagong),LRP225,6400.0,228.406,LRP225,10748.0,232.754,4.348,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0
N1,N1-38,Chittagong (Badderhat)-Maizzertek int with Z1804,LRP225,10748.0,232.754,LRP251,496.0,247.893,15.139,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0
N1,N1-39,Maizzertek Int with Z1804-Sikolbaha Int with Z1018,LRP251,496.0,247.893,LRP251,3048.0,250.445,2.552,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0
N1,N1-40,Sikolbaha Int with Z1018-Santirhat Int. with Z1071,LRP251,3048.0,250.445,LRP251,5559.0,252.956,2.511,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0
N1,N1-41,Santirhat Int. with Z1071 - Int. with Z1070,LRP251,5559.0,252.956,LRP259,726.0,255.725,2.769,21.0,1105.0,808.0,898.0,621.0,987.0,194.0,694.0,2994.0,581.0,221.0,426.0,0.0,8903.0,647.0,9550.0
N1,N1-42,Int. with Z1070 - Mansertek(Int.with N107),LRP259,726.0,255.725,LRP259,1810.0,256.809,1.084,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0
N1,N1-43,Mansertek(Int.with N107)- Patiya (Int.with Z1059),LRP259,1810.0,256.809,LRP264,3734.0,263.744,6.935,30.0,1077.0,795.0,994.0,658.0,1483.0,305.0,658.0,3125.0,536.0,207.0,240.0,7.0,9661.0,454.0,10115.0
N1,N1-44,Patiya (Int.with Z1059) - Patiya Dakbanglo (Int.with Z1057),LRP264,3734.0,263.744,LRP264,4060.0,264.07,0.326,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0
N1,N1-45,Patiya Dakbanglo (Int.with Z1057) - Patiya (Int.with Z1039),LRP264,4060.0,264.07,LRP264,5400.0,265.41,1.34,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0
N1,N1-46,Patiya (Int.with Z1039)-Khanhat Int.with Z1026,LRP264,5400.0,265.41,LRP277,1763.0,274.982,9.572,24.0,1181.0,882.0,802.0,639.0,1307.0,196.0,840.0,4070.0,910.0,819.0,3156.0,0.0,10851.0,3975.0,14826.0
N1,N1-47,Khanhat Int.with Z1026 - Hashimpur Z1036,LRP277,1763.0,274.982,LRP281,700.0,278.013,3.031,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0
N1,N1-48,Hashimpur Z1036- Keranirhat N108,LRP281,700.0,278.013,LRP291,2558.0,289.612,11.599,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0
N1,N1-49,Keranirhat N108 - Int.with Z1019,LRP291,2558.0,289.612,LRP291,2920.0,289.974,0.362,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0
N1,N1-50,"Int.with Z1019 - Lohagara, Bara Aulia (Int.with Z1013)",LRP291,2920.0,289.974,LRP299,2769.0,297.441,7.467,23.0,786.0,1237.0,944.0,92.0,1267.0,109.0,811.0,6505.0,905.0,220.0,843.0,0.0,12679.0,1063.0,13742.0
N1,N1-51,"Lohagara, Bara Aulia (Int.with Z1013) - Chunati R171",LRP299,2769.0,297.441,LRP312,171.0,307.582,10.141,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0
N1,N1-52,Chunati R171 - Aziznagar Z1007,LRP312,171.0,307.582,LRP320,308.0,315.728,8.146,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0
N1,N1-53,Aziznagar (Int.with Z1007)-Harbang (Int.with Z1124),LRP320,308.0,315.728,LRP321,63.0,316.356,0.628,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0
N1,N1-54,Harbang (Int.with Z1124) - Ekatabazar Z1125,LRP321,63.0,316.356,LRP328,485.0,323.842,7.486,42.0,2364.0,1215.0,1015.0,787.0,2025.0,345.0,1013.0,1668.0,779.0,642.0,728.0,0.0,11253.0,1370.0,12623.0
N1,N1-55,Ekatabazar Z1125 - Baraitali Int.with Z1002,LRP328,485.0,323.842,LRP331,844.0,327.188,3.346,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0
N1,N1-56,Baraitali Int.with Z1002-Int.with Z1126,LRP331,844.0,327.188,LRP335,500.0,330.874,3.686,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0
N1,N1-57,Int.with Z1126-Janatabazar (Int.with Z1127),LRP335,500.0,330.874,LRP336,764.0,332.066,1.192,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0
N1,N1-58,Janatabazar (Int.with Z1127) - Chokoria R172,LRP336,764.0,332.066,LRP336,1575.0,332.877,0.811,44.0,774.0,249.0,749.0,144.0,1058.0,202.0,661.0,1133.0,552.0,233.0,267.0,0.0,5566.0,500.0,6066.0
N1,N1-59,Chokoria R172 - Faishakhali Z1005,LRP336,1575.0,332.877,LRP341,852.0,337.31,4.433,39.0,1009.0,549.0,784.0,238.0,1018.0,165.0,318.0,2511.0,1443.0,428.0,4183.0,0.0,8074.0,4611.0,12685.0
N1,N1-60,Faishakhali Z1005- Dulahazra Z1130,LRP341,852.0,337.31,LRP348,96.0,343.559,6.249,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0
N1,N1-61,Dulahazra Z1130-Khutakhali Z1131,LRP348,96.0,343.559,LRP354,509.0,350.054,6.495,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0
N1,N1-62,Khutakhali Z1131 - Ramu (Int.with Z1001),LRP354,509.0,350.054,LRP376,57.0,370.982,20.928,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0
N1,N1-63,Ramu (Int.with Z1001)-Ramu Intersection N109,LRP376,57.0,370.982,LRP378,593.0,373.475,2.493,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0
N1,N1-64,Ramu Intersection N109 - Coxsbazar Link Road N110,LRP378,593.0,373.475,LRP386,724.0,381.481,8.006,35.0,595.0,159.0,412.0,136.0,760.0,118.0,109.0,1548.0,403.0,118.0,450.0,0.0,4275.0,568.0,4843.0
